GEO.id2,GEO.display-label,totalpop
1,Alabama,4850771
1,Alaska,738565
1,Arizona,6809946
1,Arkansas,2977944
1,California,38982847
1,Colorado,5436519
1,Connecticut,3594478
1,Delaware,943732
1,District of Columbia,672391
1,Florida,20278447
1,Georgia,10201635
1,Hawaii,1421658
1,Idaho,1657375
1,Illinois,12854526
1,Indiana,6614418
1,Iowa,3118102
1,Kansas,2903820
1,Kentucky,4424376
1,Louisiana,4663461
1,Maine,1330158
1,Maryland,5996079
1,Massachusetts,6789319
1,Michigan,9925568
1,Minnesota,5490726
1,Mississippi,2986220
29,Missouri,6075300
30,Montana,1029862
31,Nebraska,1893921
32,Nevada,2887725
33,New Hampshire,1331848
34,New Jersey,8960161
35,New Mexico,2084828
36,New York,19798228
37,North Carolina,10052564
38,North Dakota,745475
39,Ohio,11609756
40,Oklahoma,3896251
41,Oregon,4025127
42,Pennsylvania,12790505
44,Rhode Island,1056138
45,South Carolina,4893444
46,South Dakota,855444
47,Tennessee,6597381
48,Texas,27419612
49,Utah,2993941
50,Vermont,624636
51,Virginia,8365952
53,Washington,7169967
54,West Virginia,1836843
55,Wisconsin,5763217
56,Wyoming,583200
72,Puerto Rico,3468963
